Region,Country
Lake Chelan,United States
Lake County,United States
Lake Erie,United States
Lake Erie New York,United States
Lake Erie North Shore,Canada
Lake Michigan Shore,United States
Lakonia,Greece
Lalande-de-Pomerol,France
Lambrusco Grasparossa di Castelvetro,Italy
Lambrusco Mantovano,Italy
Lambrusco Salamino di Santa Croce,Italy
Lambrusco di Sorbara,Italy
Lancaster County,United States
Landes,France
Langhe,Italy
Langhorne Creek,Australia
Languedoc,France
Languedoc-Roussillon,France
Lanzarote,Spain
Larnaca,Cyprus
Las Compuertas,Argentina
Las Violetas,Uruguay
Latakia,Syria
Latricières-Chambertin Grand Cru,France
Laujar-Alpujarra,Spain
Lavaux,Switzerland
Lazio,Italy
Leelanau Peninsula,United States
Lefkadia Valley (Долина Лефкадия),Russia
Lehigh Valley,United States
Leiwen,Germany
Lemesos,Cyprus
Lemnos,Greece
Lenswood,Australia
Les Baux-de-Provence,France
Les Coteaux de l’Atlas,Morocco
Lessona,Italy
Leverano,Italy
Leyda Valley,Chile
Libournais,France
Liguria,Italy
Limarí Valley,Chile
Limburg,Netherlands
Limestone Coast,Australia
Limoux,France
Lincoln Lakeshore,Canada
Linganore,United States
Lirac,France
Lisboa,Portugal
Lison,Italy
Lison-Pramaggiore,Italy
Listrac-Médoc,France
Livermore Valley,United States
Lizzano,Italy
Lodi,United States
Loire Valley,France
Lombardia,Italy
Loncomilla Valley,Chile
Long Island,United States
Lontue Valley,Chile
Los Angeles County,United States
Los Carneros,United States
Los Olivos,United States
Louisiana,United States
Loupiac,France
Lower Galilee,Israel
Lower Loire,France
Luberon,France
Lugana,Italy
Lujan de Cuyo,Argentina
Lussac-Saint-Émilion,France
Lutzville Valley,South Africa
Luxembourg,Luxembourg
Luzern,Switzerland
Macedon Ranges,Australia
Macedonia,Greece
Madeira,Portugal
Madeirense,Portugal
Madera,United States
Madiran,France
Madrid,Spain
Magnissia,Greece
Maharashtra,India
Maine,United States
Maipo Valley,Chile
Maipu,Argentina
Maldonado,Uruguay
Malepère,France
Malgas,South Africa
Malibu-Newton Canyon,United States
Malleco Valley,Chile
Mallorca,Spain
Malmsey Madeira,Portugal
Malokarpatská,Slovakia
Malta,Malta
Malvasia delle Lipari,Italy
Malvasia di Castelnuovo don Bosco,Italy
Manchuela,Spain
Manjimup,Australia
Mantinia,Greece
Manzanilla,Spain
Maranges,France
Maranges 1er Cru 'Le Clos des Loyères',France
Marca Trevigiana,Italy
Marche,Italy
Marcillac,France
Maremma Toscana,Italy
Margaret River,Australia
Margaux,France
Marin County,United States
Markopoulo,Greece
Marlborough,New Zealand
Marmara,Turkey
Marsala,Italy
Marsannay,France
Martinborough,New Zealand
Maryland,United States
Massachusetts,United States
Matakana,New Zealand
Maule Valley,Chile
Maury,France
Mayschoss,Germany
Mazis-Chambertin Grand Cru,France
Małopolska,Poland
McGregor,South Africa
McLaren Vale,Australia
McMinnville,United States
Mediterranean,Turkey
Mehedinti,Romania
Meknès,Morocco
Melnik,Bulgaria
Mendocino,United States
Mendocino County,United States
Mendocino Ridge,United States
Mendoza,Argentina
Menetou-Salon,France
Menfi,Italy
Mercurey,France
Mercurey 1er Cru 'Clos Voyens',France
Mercurey 1er Cru 'Clos de Paradis',France
Mercurey 1er Cru 'Clos des Barraults',France
Mercurey 1er Cru 'Clos des Myglands',France
Mercurey 1er Cru 'Clos des grands Voyens',France
Mercurey 1er Cru 'La Bondue',France
Mercurey 1er Cru 'La Mission',France
Mercurey 1er Cru 'Le Clos L'Evêque',France
Mercurey 1er Cru 'Les Champs Martin',France
Mercurey 1er Cru 'Les Crêts',France
Mercurey 1er Cru 'Les Ruelles',France
Mercurey 1er Cru 'Sazenay',France
Messinia,Greece
Meteora,Greece
Metsovo,Greece
Meursault,France
Meursault 1er Cru 'Blagny',France
Meursault 1er Cru 'Charmes',France
Meursault 1er Cru 'Clos des Perrières',France
Meursault 1er Cru 'Genevrières',France
Meursault 1er Cru 'La pièce sous le Bois',France
Meursault 1er Cru 'Les Bouchères',France
Meursault 1er Cru 'Les Caillerets',France
Meursault 1er Cru 'Les Cras',France
Meursault 1er Cru 'Perrières',France
Meursault 1er Cru 'Porusot',France
Michigan,United States
Middle Loire,France
Middle Rio Grande Valley,United States
Mikulovska,Czech Republic
Minas Gerais,Brazil
Minervois,France
Minervois La Livinière,France
Minho,Portugal
Minnesota,United States
Minsk (Мінск),Belarus
Missouri,United States
Mittelburgenland,Austria
Mittelrhein,Germany
Mitterberg,Italy
Modena,Italy
Mokelumne River,United States
Moldova Viniculture,Moldova
Molise,Italy
Monbazillac,France
Monferrato,Italy
Monica di Sardegna,Italy
Monreale,Italy
Mont-sur-Rolle,Switzerland
Montagne-Saint-Émilion,France
Montagny,France
Montagny 1er Cru 'L'epaule',France
Montagny 1er Cru 'Le Clos Chaudron',France
Montagny 1er Cru 'Le vieux Château',France
Montagny 1er Cru 'Les Bassets',France
Montagny 1er Cru 'Les Bonneveaux',France
Montagny 1er Cru 'Les Bouchots',France
Montagny 1er Cru 'Les Burnins',France
Montagny 1er Cru 'Les Chaniots',France
Montagny 1er Cru 'Les Coeres',France
Montagny 1er Cru 'Les Gouresses',France
Montagny 1er Cru 'Les Jardins',France
Montagny 1er Cru 'Les Platieres',France
Montagny 1er Cru 'Les Resses',France
Montagny 1er Cru 'Les Vignes Derrière',France
Montagny 1er Cru 'Montorge',France
Montagny 1er Cru 'Vigne du Soleil',France
Montagny Premier Cru,France
Montecarlo,Italy
Montecucco,Italy
Montefalco,Italy
Montefalco Sagrantino,Italy
Montello e Colli Asolani,Italy
Montepulciano d'Abruzzo,Italy
Montepulciano d'Abruzzo Colline Teramane,Italy
Monteregio di Massa Marittima,Italy
Monterey,United States
Monterey County,United States
Monterrei,Spain
Montevideo,Uruguay
Monthélie,France
Monthélie 1er Cru 'Sur la Velle',France
Monti Lessini,Italy
Monticello,United States
Montilla-Moriles,Spain
Montlouis-sur-Loire,France
Montpeyroux,France
Montrachet Grand Cru,France
Montravel,France
Montsant,Spain
Monção e Melgaço,Portugal
Moon Mountain District,United States
Morava,Czech Republic
Morellino di Scansano,Italy
Morey-Saint-Denis,France
Morey-Saint-Denis 1er Cru 'Aux Charmes',France
Morey-Saint-Denis 1er Cru 'Aux Cheseaux',France
Morey-Saint-Denis 1er Cru 'Clos Sorbe',France
Morey-Saint-Denis 1er Cru 'Clos des Ormes',France
Morey-Saint-Denis 1er Cru 'La Riotte',France
Morey-Saint-Denis 1er Cru 'Les Chaffots',France
Morey-Saint-Denis 1er Cru 'Les Charrières',France
Morey-Saint-Denis 1er Cru 'Les Chenevery',France
Morey-Saint-Denis 1er Cru 'Les Ruchots',France
Morey-Saint-Denis 1er Cru 'Les Sorbes',France
Morges,Switzerland
Morgon,France
Mornag,Tunisia
Mornington Peninsula,Australia
Moscadello di Montalcino,Italy
Moscato d'Asti,Italy
Moscato di Noto,Italy
Moscato di Pantelleria,Italy
Moscato di Scanzo,Italy
Moscato di Trani,Italy
Mosel,Germany
Moselle,Luxembourg
Moulin-à-Vent,France
Moulis-en-Médoc,France
Mount Barker,Australia
Mount Benson,Australia
Mount Carmel,Israel
Mount Gambier,Australia
Mount Harlan,United States
Mount Lebanon,Lebanon
Mount Lofty Ranges,Australia
Mount Veeder,United States
Moura,Portugal
Mudgee,Australia
Mukuzani,Georgia
Murfatlar,Romania
Murgia,Italy
Murray Darling,Australia
Muscadet,France
Muscadet-Coteaux de la Loire,France
Muscadet-Côtes de Grandlieu,France
Muscadet-Sevre et Maine,France
Muscat de Beaumes de Venise,France
Muscat de Frontignan,France
Muscat de Mireval,France
Muscat de Rivesaltes,France
Muscat de St. Jean de Minervois,France
Málaga,Spain
Mátra,Hungary
Mâcon,France
Mâcon-Azé,France
Mâcon-Burgy,France
Mâcon-Bussières,France
Mâcon-Chaintré,France
Mâcon-Chardonnay,France
Mâcon-Fuissé,France
Mâcon-Igé,France
Mâcon-La Roche-Vineuse,France
Mâcon-Loché,France
Mâcon-Lugny,France
Mâcon-Pierreclos,France
Mâcon-Prissé,France
Mâcon-Péronne,France
Mâcon-Uchizy,France
Mâcon-Vergisson,France
Mâcon-Villages,France
Mâconnais,France
Méditerranée,France
Médoc,France
Méntrida,Spain
Múrcia,Spain
Mělník (CZ),Czech Republic
Nagambie Lakes,Australia
Nagano-ken,Japan
Nagy-Somló,Hungary
Nahe,Germany
Naoussa,Greece
Napa County,United States
Napa Valley,United States
Napier,South Africa
Naramata Bench,Canada
Nardò,Italy
Nashik,India
Navarra,Spain
Nebbiolo d'Alba,Italy
Nebraska,United States
Negev,Israel
Neipperg,Germany
Nelson,New Zealand
Nemea,Greece
Neszmély,Hungary
Neuchâtel,Switzerland
Neusiedlersee,Austria
Neusiedlersee-Hügelland,Austria
New England Australia,Australia
New Hampshire,United States
New Jersey,United States
New Mexico,United States
New South Wales,Australia
New York,United States
New Zealand,New Zealand
Niagara Escarpment,United States
Niagara Escarpment-Ontario,Canada
Niagara Lakeshore,Canada
Niagara Peninsula,Canada
Niagara River,Canada
Niagara-on-the-Lake,Canada
Niederösterreich,Austria
Nierstein,Germany
Ningxia,China
Nitrianska,Slovakia
Nizza,Italy
North,Mexico
North Carolina,United States
North Coast,United States
North East Victoria,Australia
North Fork of Long Island,United States
North Fork of Roanoke,United States
North Island,New Zealand
Northern Jordan,Jordan
Northern Region,United States
Northern Rhône,France
Northern Sonoma,United States
Northern Tasmania,Australia
Noto,Italy
Nova Scotia,Canada
Novorossiysk (Новороссийск),Russia
Nuits-Saint-Georges,France
Nuits-Saint-Georges 1er Cru 'Aux Boudots',France
Nuits-Saint-Georges 1er Cru 'Aux Bousselots',France
Nuits-Saint-Georges 1er Cru 'Aux Chaignots',France
Nuits-Saint-Georges 1er Cru 'Aux Cras',France
Nuits-Saint-Georges 1er Cru 'Aux Murgers',France
Nuits-Saint-Georges 1er Cru 'Aux Perdrix',France
Nuits-Saint-Georges 1er Cru 'Aux Thorey',France
Nuits-Saint-Georges 1er Cru 'Aux Vignerondes',France
Nuits-Saint-Georges 1er Cru 'Clos des Argillières',France
Nuits-Saint-Georges 1er Cru 'Clos des Porrets Saint-Georges',France
Nuits-Saint-Georges 1er Cru 'La Richemone',France
Nuits-Saint-Georges 1er Cru 'Les Cailles',France
Nuits-Saint-Georges 1er Cru 'Les Chaboeufs',France
Nuits-Saint-Georges 1er Cru 'Les Crots',France
Nuits-Saint-Georges 1er Cru 'Les Damodes',France
Nuits-Saint-Georges 1er Cru 'Les Didiers',France
Nuits-Saint-Georges 1er Cru 'Les Hauts Pruliers',France
Nuits-Saint-Georges 1er Cru 'Les Porrets Saint-Georges',France
Nuits-Saint-Georges 1er Cru 'Les Poulettes',France
Nuits-Saint-Georges 1er Cru 'Les Pruliers',France
Nuits-Saint-Georges 1er Cru 'Les Terres Blanches',France
Nuits-Saint-Georges 1er Cru 'Les Vallerots',France
Nuits-Saint-Georges 1er Cru 'Les Vaucrains',France
Nuits-Saint-Georges Premier Cru,France
Nuragus di Cagliari,Italy
Nuy,South Africa
Nyaungshwe,Myanmar
Oak Knoll District,United States
Oakville,United States
Ockfen,Germany
Odessa (Одеса),Ukraine
Offida,Italy
Ohio,United States
Ohio River Valley,United States
Ohrid,North Macedonia
Okanagan Falls,Canada
Okanagan Valley,Canada
Oklahoma,United States
Old Mission Peninsula,United States
Olifants River,South Africa
Ollon,Switzerland
Oloroso Sherry,Spain
Oltrepo Pavese Metodo Classico,Italy
Oltrepò Pavese,Italy
Ontario,Canada
Orange,Australia
Orange County,United States
Orcia,Italy
Oregon,United States
Oregon Yamhill-Carlton,United States
Orléans,France
Orvietano Rosso,Italy
Orvieto,Italy
Orvieto Classico,Italy
Osorno Valley,Chile
Otazu,Spain
Outer Coastal Plain,United States
Overberg,South Africa
Ozark Highlands,United States
Paarl,South Africa
Pacherenc du Vic-Bilh,France
Padthaway,Australia
Paestum,Italy
Pago Florentino,Spain
Paicines,United States
Paiva,Portugal
Palmela,Portugal
Palo Cortado Sherry,Spain
Panciu,Romania
Pangeon,Greece
Pannonhalma,Hungary
Paphos,Cyprus
Paraje Altamira,Argentina
Paraná,Brazil
Parrina,Italy
Paso Robles,United States
Passito di Pantelleria,Italy
Patagonia,Argentina
Patagonia (Chile),Chile
Patras,Greece
Patrimonio,France
Pauillac,France
Pays Nantais,France
Pays d'Oc,France
Pazardjik,Bulgaria
País Vasco,Spain
Pedernal Valley,Argentina
Pedro Ximénez Sherry (PX),Spain
Pella,Greece
Peloponnesos,Greece
Pemberton,Australia
Penedès,Spain
Pennsylvania,United States
Península de Setúbal,Portugal
Perdriel,Argentina
Perigord,France
Pernand-Vergelesses,France
Pernand-Vergelesses 1er Cru 'Clos Berthet',France
Pernand-Vergelesses 1er Cru 'En Caradeux',France
Pernand-Vergelesses 1er Cru 'Ile des Vergelesses',France
Pernand-Vergelesses 1er Cru 'Les Fichots',France
Pernand-Vergelesses 1er Cru 'Sous Frétille',France
Pernand-Vergelesses 1er Cru 'Vergelesses',France
Pessac-Léognan,France
Petaluma Gap,United States
Petit Chablis,France
Peumo,Chile
Peza,Greece
Pfalz,Germany
Piave,Italy
Piave Malanotte,Italy
Pic-Saint-Loup,France
Piccadilly Valley,Australia
Pico,Portugal
Picpoul de Pinet,France
Piekenierskloof,South Africa
Piemonte,Italy
Piesport,Germany
Pineau des Charentes,France
Pinerolese,Italy
Pinto Bandeira,Brazil
Pipers River,Australia
Pirque,Chile
Pla de Bages,Spain
Planalto Catarinense,Brazil
Plesivica,Croatia
Plovdiv,Bulgaria
Plà i Llevant,Spain
Podgorica,Montenegro
Podkarpacie,Poland
Podravje,Slovenia
Pomerol,France
Pomino,Italy
Pommard,France
Pommard 1er Cru 'Clos Blanc',France
Pommard 1er Cru 'Clos de la Commaraine',France
Pommard 1er Cru 'Clos des Epeneaux',France
Pommard 1er Cru 'En Largillière',France
Pommard 1er Cru 'La Platière',France
Pommard 1er Cru 'Les Arvelets',France
Pommard 1er Cru 'Les Bertins',France
Pommard 1er Cru 'Les Boucherottes',France
Pommard 1er Cru 'Les Chanlins-Bas',France
Pommard 1er Cru 'Les Chaponnières',France
Pommard 1er Cru 'Les Charmots',France
Pommard 1er Cru 'Les Combes Dessus',France
Pommard 1er Cru 'Les Epenots',France
Pommard 1er Cru 'Les Fremiers',France
Pommard 1er Cru 'Les Grands Epenots',France
Pommard 1er Cru 'Les Petits Epenots',France
Pommard 1er Cru 'Les Poutures',France
Pommard 1er Cru 'Les Pézerolles',France
Pommard 1er Cru 'Les Rugiens',France
Pommard 1er Cru 'Les Saussilles',France
Pommard Premier Cru,France
Porongurup,Australia
Port Phillip,Australia
Portalegre,Portugal
Porto,Portugal
Posavje,Slovenia
Potter Valley,United States
Pouilly-Fuissé,France
Pouilly-Fumé,France
Pouilly-Sur-Loire,France
Pouilly-Vinzelles,France
Povardarie,North Macedonia
Premières Côtes de Blaye,France
Premières Côtes de Bordeaux,France
Primitivo di Manduria,Italy
Primitivo di Manduria Dolce Naturale,Italy
Primorje,Slovenia
Prince Albert Valley,South Africa
Prince Edward County,Canada
Priorat,Spain
Progreso,Uruguay
Prosecco,Italy
Prosecco di Treviso,Italy
Provence,France
Provincia di Pavia,Italy
Puente Alto,Chile
Puget Sound,United States
Puglia,Italy
Puisseguin-Saint-Émilion,France
Puligny-Montrachet,France
Puligny-Montrachet 1er Cru 'Champ Canet',France
Puligny-Montrachet 1er Cru 'Champ Gain',France
Puligny-Montrachet 1er Cru 'Clos de la Garenne',France
Puligny-Montrachet 1er Cru 'Clos de la Mouchère',France
Puligny-Montrachet 1er Cru 'Hameau de Blagny',France
Puligny-Montrachet 1er Cru 'La Garenne',France
Puligny-Montrachet 1er Cru 'La Truffière',France
Puligny-Montrachet 1er Cru 'Le Cailleret',France
Puligny-Montrachet 1er Cru 'Les Combettes',France
Puligny-Montrachet 1er Cru 'Les Demoiselles',France
Puligny-Montrachet 1er Cru 'Les Folatières',France
Puligny-Montrachet 1er Cru 'Les Perrières',France
Puligny-Montrachet 1er Cru 'Les Pucelles',France
Puligny-Montrachet 1er Cru 'Les Referts',France
Puligny-Montrachet 1er Cru 'Sous le Puits',France
Puy-de-Dome,France
Pyrenees,Australia
Pyrenées,France
Pécharmant,France
Pécs,Hungary
Quarts de Chaume,France
Quebec,Canada
Queensland,Australia
Querétaro,Mexico
Quincy,France
Rabisha,Bulgaria
Racha-Lechkhumi,Georgia
Ramandolo,Italy
Rapel Valley,Chile
Rapsani,Greece
Rasteau,France
Rattlesnake Hills,United States
Recas,Romania
Recioto della Valpolicella,Italy
Recioto della Valpolicella Classico,Italy
Recioto di Soave,Italy
Recioto di Soave Classico,Italy
Red Hills Lake County,United States
Red Mountain,United States
Redondo,Portugal
Redwood Valley,United States
Reestdal,Netherlands
Reggiano,Italy
Reguengos,Portugal
Reno,Italy
Reuilly,France
Rheingau,Germany
Rheinhessen,Germany
Rheintal,Switzerland
Rhode Island,United States
Rhodes,Greece
Rhone Valley,France
Ribatejo,Portugal
Ribbon Ridge,United States
Ribeira Sacra,Spain
Ribeiro,Spain
Ribera del Duero,Spain
Ribera del Guadiana,Spain
Ribera del Gállego-Cinco Villas,Spain
Ribera del Júcar,Spain
Ribera del Queiles,Spain
Richebourg Grand Cru,France
Rio Grande do Sul,Brazil
Rio Negro,Argentina
Rioja,Spain
Rioja Alavesa,Spain
Rioja Alta,Spain
Ritsona,Greece
River Junction,United States
Rivera,Uruguay
Riverina,Australia
Riverland,Australia
Riverside County,United States
Rivesaltes,France
Riviera Ligure di Ponente,Italy
Robe,Australia
Robertson,South Africa
Roccamonfina,Italy
Rockpile,United States
Roero,Italy
Rogue Valley,United States
Romagna,Italy
Roman wall,Romania
Romania Viniculture,Romania
Ronchi di Brescia,Italy
Rosazzo,Italy
Rose Valley,Bulgaria
Rosso Conero,Italy
Rosso Conero Riserva,Italy
Rosso Piceno,Italy
Rosso Veronese,Italy
Rosso di Montalcino,Italy
Rosso di Montepulciano,Italy
Rosé d'Anjou,France
Rosé de Loire,France
Rosé des Riceys,France
Roussette du Bugey,France
Rubicone,Italy
Ruchè,Italy
Rueda,Spain
Rully,France
Rully 1er Cru 'Chapitre',France
Rully 1er Cru 'Cloux',France
Rully 1er Cru 'La Bressande',France
Rully 1er Cru 'Margotés',France
Rully 1er Cru 'Molesme',France
Rully 1er Cru 'Preaux',France
Rully 1er Cru 'Raclot',France
Rully 1er Cru 'Vauvry',France
Rully Premier Cru,France
Russian River Valley,United States
Rutherford,United States
Rutherglen,Australia
Régnié,France
Rías Baixas,Spain
Rüdesheim,Germany
Saale-Unstrut,Germany
Sable de Camargue,France
Sachsen,Germany
Saddle Rock Malibu,United States
Saint-Amour,France
Saint-Aubin,France
Saint-Aubin 1er Cru 'Bas de Vermarain à l'est',France
Saint-Aubin 1er Cru 'Derrière chez Edouard',France
Saint-Aubin 1er Cru 'En Créot',France
Saint-Aubin 1er Cru 'En Montceau',France
Saint-Aubin 1er Cru 'En Remilly',France
Saint-Aubin 1er Cru 'La Chatenière',France
Saint-Aubin 1er Cru 'Le Charmois',France
Saint-Aubin 1er Cru 'Le Puits',France
Saint-Aubin 1er Cru 'Les Castets',France
Saint-Aubin 1er Cru 'Les Champlots',France
Saint-Aubin 1er Cru 'Les Combes',France
Saint-Aubin 1er Cru 'Les Frionnes',France
Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien',France
Saint-Aubin 1er Cru 'Les Perrières',France
Saint-Aubin 1er Cru 'Pitangeret',France
Saint-Aubin 1er Cru 'Sous Roche Dumay',France
Saint-Aubin 1er Cru 'Sur Gamay',France
Saint-Aubin 1er Cru 'Sur le Sentier du Clou',France
Saint-Bris,France
Saint-Chinian,France
Saint-Chinian Berlou,France
Saint-Chinian Roquebrun,France
Saint-Drézéry,France
Saint-Estèphe,France
Saint-Georges-Saint-Émilion,France
Saint-Guilhem-le-Desert,France
Saint-Joseph,France
Saint-Julien,France
Saint-Leonard,Switzerland
Saint-Mont,France
Saint-Nicolas-de-Bourgueil,France
Saint-Pourçain,France
Saint-Péray,France
Saint-Romain,France
Saint-Saphorin,Switzerland
Saint-Saturnin,France
Saint-Véran,France
Saint-Émilion,France
Saint-Émilion Grand Cru,France
Sainte-Foy-Bordeaux,France
Salento,Italy
Salgesch,Switzerland
Salice Salentino,Italy
Salina,Italy
Salta,Argentina
Salto,Uruguay
Samaria,Israel
Samburesti,Romania
Samos,Greece
San Antonio Valley,United States
San Antonio Valley (CL),Chile
San Benito,United States
San Benito County,United States
San Bernabe,United States
San Carlos,Argentina
San Diego County,United States
San Francisco Bay,United States
San Gimignano,Italy
San José,Uruguay
San Juan,Argentina
San Luis Obispo County,United States
San Marino,San Marino
San Rafael,Argentina
Sancerre,France
Sangiovese di Romagna,Italy
Sannio,Italy
Sant'Antimo,Italy
Santa Barbara County,United States
Santa Catarina,Brazil
Santa Clara County,United States
Santa Clara Valley,United States
Santa Cruz County,United States
Santa Cruz Mountains,United States
Santa Lucia Highlands,United States
Santa Maria Valley,United States
Santa Ynez Valley,United States
Santenay,France
Santenay 1er Cru 'Beauregard',France
Santenay 1er Cru 'Beaurepaire',France
Santenay 1er Cru 'Clos Faubard',France
Santenay 1er Cru 'Clos Rousseau',France
Santenay 1er Cru 'Clos de Tavannes',France
Santenay 1er Cru 'La Comme',France
Santenay 1er Cru 'La Maladière',France
Santenay 1er Cru 'Les Gravières',France
Santiago,Chile
Santorini,Greece
Saone-et-Loire,France
Sardegna,Italy
Sardón de Duero,Spain
Sarica Niculitel,Romania
Saumur,France
Saumur-Champigny,France
Sauternes,France
Savennières,France
Savennières-Roche-aux-Moines,France
Savigny-lès-Beaune,France
Savigny-lès-Beaune 1er Cru 'Aux Clous',France
Savigny-lès-Beaune 1er Cru 'Aux Fourneaux',France
Savigny-lès-Beaune 1er Cru 'Aux Gravains',France
Savigny-lès-Beaune 1er Cru 'Aux Guettes',France
Savigny-lès-Beaune 1er Cru 'Aux Serpentières',France
Savigny-lès-Beaune 1er Cru 'La Dominode',France
Savigny-lès-Beaune 1er Cru 'Les Haut Jarrons',France
Savigny-lès-Beaune 1er Cru 'Les Lavières',France
Savigny-lès-Beaune 1er Cru 'Les Marconnets',France
Savigny-lès-Beaune 1er Cru 'Les Narbantons',France
Savigny-lès-Beaune 1er Cru 'Les Peuillets',France
Savigny-lès-Beaune 1er Cru 'Les Rouvrettes',France
Savigny-lès-Beaune 1er Cru 'Les Talmettes',France
Savigny-lès-Beaune 1er Cru 'Les Vergelesses',France
Savigny-lès-Beaune 1er Cru 'Redrescul',France
Savigny-lès-Beaune Premier Cru,France
Savoie,France
Scanderbeg,Albania
Schaffhausen,Switzerland
Schwaben,Romania
Schweigen,Germany
Sebino,Italy
Seneca Lake,United States
Sennoy (Сенной),Russia
Sercial Madeira,Portugal
Serra Gaúcha,Brazil
Serra Negra,Brazil
Serra do Sudeste,Brazil
Serres,Greece
Setúbal,Portugal
Sforzato della Valtellina,Italy
Shamakha,Azerbaijan
Shandong,China
Shanxi,China
Sharon,Israel
Shenandoah Valley,United States
Shoalhaven Coast,Australia
Short Hills Bench,Canada
Sicilia,Italy
Siebeldingen,Germany
Sierra Foothills,United States
Sierra Norte de Sevilla,Spain
Sierra Sur de Jaén,Spain
Sierra de Salamanca,Spain
Sierras de Málaga,Spain
Sierre,Switzerland
Similkameen Valley,Canada
Simonsberg-Paarl,South Africa
Simonsberg-Stellenbosch,South Africa
Sion,Switzerland
Sjeverna Dalmacija,Croatia
Skopje,North Macedonia
Slanghoek,South Africa
Slavonija,Croatia
Slopes of Egialia,Greece
Slopes of Meliton,Greece
Slopes of Paiko,Greece
Slovakia,Slovakia
Slovenian Istria,Slovenia
Snake River Valley,United States
Snipes Mountain,United States
Soave,Italy
Soave Classico,Italy
Soave Superiore,Italy
Solano County,United States
Sommières,France
Somontano,Spain
Sonoita,United States
Sonoma Coast,United States
Sonoma County,United States
Sonoma Mountain,United States
Sonoma Valley,United States
Sopron,Hungary
South Australia,Australia
South Coast,United States
South Coast Australia,Australia
South Dakota,United States
South Eastern,Moldova
South Eastern Australia,Australia
South Island,New Zealand
South West Australia,Australia
South West France,France
Southeastern Anatolia,Turkey
Southeastern New England,United States
Southern Fieurieu,Australia
Southern Highlands,Australia
Southern New South Wales,Australia
Southern Oregon,United States
Southern Rhône,France
Southern Tasmania,Australia
Southwest Region,United States
Sovana,Italy
Spata,Greece
Spring Mountain District,United States
Srednja I Juzna Dalmacija,Croatia
Srem,Serbia
St. David's Bench,Canada
St. Gallen,Switzerland
St. Helena,United States
Sta. Rita Hills,United States
Stags Leap District,United States
Stara Zagora,Bulgaria
Stavropol's Region (Ставропольский край),Russia
Steiermark,Austria
Steirerland,Austria
Stellenbosch,South Africa
Stetten,Germany
Stockholm,Sweden
Strathbogie Ranges,Australia
Struma River Valley,Bulgaria
Subotica-Horgos,Serbia
Suisun Valley,United States
Sunbury,Australia
Surrey,United Kingdom
Sussex,United Kingdom
Swan Creek,United States
Swan Hill,Australia
Swan Valley,Australia
Swartland,South Africa
Swellendam,South Africa
Switzerland,Switzerland
Szekszárd,Hungary
São Paulo,Brazil
Südburgenland,Austria
Südoststeiermark,Austria
Südsteiermark,Austria
Südtirol Eisacktaler,Italy
Südtirol-Alto Adige,Italy
Ta Qali,Malta
Taburno,Italy
Taman Peninsula (Таманский полуостров),Russia
Tamar Valley,Australia
Tarantino,Italy
Tarija,Bolivia
Tarnave,Romania
Tarragona,Spain
Tasmania,Australia
Taurasi,Italy
Tavel,France
Tejo,Portugal
Telavi,Georgia
Temecula Valley,United States
Tennessee,United States
Terek Valley (Долина Терека),Russia
Teroldego Rotaliano,Italy
Terra Alta,Spain
Terrasses du Larzac,France
Terrazze Retiche di Sondrio,Italy
Terre Siciliane,Italy
Terre degli Osci,Italy
Terre del Volturno,Italy
Terre di Chieti,Italy
Texas,United States
Texas High Plains,United States
Texas Hill Country,United States
Thebes,Greece
Thermenregion,Austria
Thessalia,Greece
Thessaloniki,Greece
Thrace (BG),Bulgaria
Thrace (GR),Greece
Thrace (TR),Turkey
Thracian Valley,Bulgaria
Thurgau,Switzerland
Ticino,Switzerland
Tierra de León,Spain
Tierra del Vino de Zamora,Spain
Tikveš,North Macedonia
Tintilia del Molise,Italy
Todi,Italy
Tokaj,Hungary
Tokat,Turkey
Tolna,Hungary
Torgiano,Italy
Toro,Spain
Toscana,Italy
Touraine,France
Touraine Noble Joué,France
Touraine-Amboise,France
Traisental,Austria
Trakiiska Nizina,Bulgaria
Transmontano,Portugal
Transylvania,Romania
Trasimeno,Italy
Trebbiano d'Abruzzo,Italy
Trebbiano di Romagna,Italy
Trentino,Italy
Trentino-Alto Adige,Italy
Trento,Italy
Trevenezie,Italy
Trifilia,Greece
Trittenheim,Germany
Trás-os-Montes,Portugal
Tsinandali,Georgia
Tulbagh,South Africa
Tulum Valley,Argentina
Tumbarumba,Australia
Tunisia,Tunisia
Tunuyán,Argentina
Tupungato,Argentina
Tursan,France
Twenty Mile Bench,Canada
Tygerberg,South Africa
Tyrnavos,Greece
Távora-Varosa,Portugal
Uclés,Spain
Uco Valley,Argentina
Umbria,Italy
Umpqua Valley,United States
Upper Galilee,Israel
Upper Goulburn,Australia
Upper Loire,France
Upper Thrace,Bulgaria
Utah,United States
Utiel-Requena,Spain
Utrecht,Netherlands
Uvrier,Switzerland
Vacqueyras,France
Vaduz,Liechtenstein
Val d'Arbia,Italy
Val de Loire,France
Val de Montferrand,France
Val di Cornia,Italy
Val di Neto,Italy
Valais,Switzerland
Valcamonica,Italy
Valdadige,Italy
Valdejalón,Spain
Valdeorras,Spain
Valdepeñas,Spain
Valdichiana,Italy
Vale do São Francisco,Brazil
Vale dos Vinhedos,Brazil
Valencia,Spain
Vallagarina,Italy
